district_code,state_name,district_name_2016,district_name_2017_onwards,canonical_name,notes
1,Jammu And Kashmir,Anantnag,Anantnag,Anantnag,
2,Jammu And Kashmir,Budgam,Budgam,Budgam,
3,Jammu And Kashmir,Baramulla,Baramulla,Baramulla,
4,Jammu And Kashmir,Doda,Doda,Doda,
5,Jammu And Kashmir,Jammu,Jammu,Jammu,
6,Jammu And Kashmir,Kargil,Kargil,Kargil,
7,Jammu And Kashmir,Kathua,Kathua,Kathua,
8,Jammu And Kashmir,Kupwara,Kupwara,Kupwara,
9,Jammu And Kashmir,Leh Ladakh,Leh Ladakh,Leh Ladakh,
10,Jammu And Kashmir,Poonch,Poonch,Poonch,
11,Jammu And Kashmir,Pulwama,Pulwama,Pulwama,
12,Jammu And Kashmir,Rajouri,Rajouri,Rajouri,
13,Jammu And Kashmir,Srinagar,Srinagar,Srinagar,
14,Jammu And Kashmir,Udhampur,Udhampur,Udhampur,
620,Jammu And Kashmir,Kishtwar,Kishtwar,Kishtwar,
621,Jammu And Kashmir,Ramban,Ramban,Ramban,
622,Jammu And Kashmir,Kulgam,Kulgam,Kulgam,
623,Jammu And Kashmir,Bandipora,Bandipora,Bandipora,
624,Jammu And Kashmir,Samba,Samba,Samba,
625,Jammu And Kashmir,Shopian,Shopian,Shopian,
626,Jammu And Kashmir,Ganderbal,Ganderbal,Ganderbal,
627,Jammu And Kashmir,Reasi,Reasi,Reasi,
322,Jharkhand,Bokaro,Bokaro,Bokaro,
323,Jharkhand,Chatra,Chatra,Chatra,
324,Jharkhand,Deoghar,Deoghar,Deoghar,
325,Jharkhand,Dhanbad,Dhanbad,Dhanbad,
326,Jharkhand,Dumka,Dumka,Dumka,
327,Jharkhand,East Singhbum,East Singhbum,East Singhbum,
328,Jharkhand,Garhwa,Garhwa,Garhwa,
329,Jharkhand,Giridih,Giridih,Giridih,
330,Jharkhand,Godda,Godda,Godda,
331,Jharkhand,Gumla,Gumla,Gumla,
332,Jharkhand,Hazaribagh,Hazaribagh,Hazaribagh,
333,Jharkhand,Jamtara,Jamtara,Jamtara,
334,Jharkhand,Koderma,Koderma,Koderma,
335,Jharkhand,Latehar,Latehar,Latehar,
336,Jharkhand,Lohardaga,Lohardaga,Lohardaga,
337,Jharkhand,Pakur,Pakur,Pakur,
338,Jharkhand,Palamu,Palamu,Palamu,
339,Jharkhand,Ranchi,Ranchi,Ranchi,
340,Jharkhand,Sahebganj,Sahebganj,Sahebganj,
341,Jharkhand,Saraikela Kharsawan,Saraikela Kharsawan,Saraikela Kharsawan,
342,Jharkhand,Simdega,Simdega,Simdega,
343,Jharkhand,West Singhbhum,West Singhbhum,West Singhbhum,
606,Jharkhand,Khunti,Khunti,Khunti,
607,Jharkhand,Ramgarh,Ramgarh,Ramgarh,
524,Karnataka,Bagalkote,Bagalkote,Bagalkote,
525,Karnataka,Bengaluru Urban,Bengaluru Urban,Bengaluru Urban,
527,Karnataka,Belagavi,Belagavi,Belagavi,
528,Karnataka,Ballari,Ballari,Ballari,
529,Karnataka,Bidar,Bidar,Bidar,
530,Karnataka,Vijayapura,Vijayapura,Vijayapura,
531,Karnataka,Chamarajanagara,Chamarajanagara,Chamarajanagara,
532,Karnataka,Chikkamagaluru,Chikkamagaluru,Chikkamagaluru,
533,Karnataka,Chitradurga,Chitradurga,Chitradurga,
534,Karnataka,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada,
535,Karnataka,Davangere,Davangere,Davangere,
536,Karnataka,Dharwad,Dharwad,Dharwad,
537,Karnataka,Gadag,Gadag,Gadag,
538,Karnataka,Kalaburagi,Kalaburagi,Kalaburagi,
539,Karnataka,Hassan,Hassan,Hassan,
540,Karnataka,Haveri,Haveri,Haveri,
541,Karnataka,Kodagu,Kodagu,Kodagu,
542,Karnataka,Kolar,Kolar,Kolar,
543,Karnataka,Koppal,Koppal,Koppal,
544,Karnataka,Mandya,Mandya,Mandya,
545,Karnataka,Mysuru,Mysuru,Mysuru,
546,Karnataka,Raichur,Raichur,Raichur,
547,Karnataka,Shivamogga,Shivamogga,Shivamogga,
548,Karnataka,Tumakuru,Tumakuru,Tumakuru,
549,Karnataka,Udupi,Udupi,Udupi,
550,Karnataka,Uttara Kannada,Uttara Kannada,Uttara Kannada,
630,Karnataka,Chikkaballapura,Chikkaballapura,Chikkaballapura,
631,Karnataka,Ramanagara,Ramanagara,Ramanagara,
635,Karnataka,Yadgir,Yadgir,Yadgir,
748,Karnataka,,Eluru,Eluru,"new district code, only appears 2017 onwards"
554,Kerala,Alappuzha,Alappuzha,Alappuzha,
555,Kerala,Ernakulam,Ernakulam,Ernakulam,
556,Kerala,Idukki,Idukki,Idukki,
557,Kerala,Kannur,Kannur,Kannur,
558,Kerala,Kasaragod,Kasaragod,Kasaragod,
559,Kerala,Kollam,Kollam,Kollam,
560,Kerala,Kottayam,Kottayam,Kottayam,
561,Kerala,Kozhikode,Kozhikode,Kozhikode,
562,Kerala,Malappuram,Malappuram,Malappuram,
563,Kerala,Palakkad,Palakkad,Palakkad,
564,Kerala,Pathanamthitta,Pathanamthitta,Pathanamthitta,
565,Kerala,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,
566,Kerala,Thrissur,Thrissur,Thrissur,
567,Kerala,Wayanad,Wayanad,Wayanad,
553,Lakshadweep,Lakshadweep District,Lakshadweep District,Lakshadweep District,
390,Madhya Pradesh,Anuppur,Anuppur,Anuppur,
391,Madhya Pradesh,Ashoknagar,Ashoknagar,Ashoknagar,
392,Madhya Pradesh,Balaghat,Balaghat,Balaghat,
393,Madhya Pradesh,Barwani,Barwani,Barwani,
394,Madhya Pradesh,Betul,Betul,Betul,
395,Madhya Pradesh,Bhind,Bhind,Bhind,
396,Madhya Pradesh,Bhopal,Bhopal,Bhopal,
397,Madhya Pradesh,Burhanpur,Burhanpur,Burhanpur,
398,Madhya Pradesh,Chhatarpur,Chhatarpur,Chhatarpur,
399,Madhya Pradesh,Chhindwara,Chhindwara,Chhindwara,
400,Madhya Pradesh,Damoh,Damoh,Damoh,
401,Madhya Pradesh,Datia,Datia,Datia,
402,Madhya Pradesh,Dewas,Dewas,Dewas,
403,Madhya Pradesh,Dhar,Dhar,Dhar,
404,Madhya Pradesh,Dindori,Dindori,Dindori,
405,Madhya Pradesh,,Khandwa (East Nimar),Khandwa (East Nimar),"new district code, only appears 2017 onwards"
406,Madhya Pradesh,Guna,Guna,Guna,
407,Madhya Pradesh,Gwalior,Gwalior,Gwalior,
408,Madhya Pradesh,Harda,Harda,Harda,
409,Madhya Pradesh,Narmadapuram,Narmadapuram,Narmadapuram,
410,Madhya Pradesh,Indore,Indore,Indore,
411,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur,
412,Madhya Pradesh,Jhabua,Jhabua,Jhabua,
413,Madhya Pradesh,Katni,Katni,Katni,
414,Madhya Pradesh,Khargone,Khargone (West Nimar),Khargone (West Nimar),name spelling changed between eras
415,Madhya Pradesh,Mandla,Mandla,Mandla,
416,Madhya Pradesh,Mandsaur,Mandsaur,Mandsaur,
417,Madhya Pradesh,Morena,Morena,Morena,
418,Madhya Pradesh,Narsinghpur,Narsimhapur,Narsimhapur,name spelling changed between eras
419,Madhya Pradesh,Neemuch,Neemuch,Neemuch,
420,Madhya Pradesh,Panna,Panna,Panna,
421,Madhya Pradesh,Raisen,Raisen,Raisen,
422,Madhya Pradesh,Rajgarh,Rajgarh,Rajgarh,
423,Madhya Pradesh,Ratlam,Ratlam,Ratlam,
424,Madhya Pradesh,Rewa,Rewa,Rewa,
425,Madhya Pradesh,Sagar,Sagar,Sagar,
426,Madhya Pradesh,Satna,Satna,Satna,
427,Madhya Pradesh,Sehore,Sehore,Sehore,
428,Madhya Pradesh,Seoni,Seoni,Seoni,
429,Madhya Pradesh,Shahdol,Shahdol,Shahdol,
430,Madhya Pradesh,Shajapur,Shajapur,Shajapur,
431,Madhya Pradesh,Sheopur,Sheopur,Sheopur,
432,Madhya Pradesh,Shivpuri,Shivpuri,Shivpuri,
433,Madhya Pradesh,Sidhi,Sidhi,Sidhi,
434,Madhya Pradesh,Tikamgarh,Tikamgarh,Tikamgarh,
435,Madhya Pradesh,Ujjain,Ujjain,Ujjain,
436,Madhya Pradesh,Umaria,Umaria,Umaria,
437,Madhya Pradesh,Vidisha,Vidisha,Vidisha,
638,Madhya Pradesh,Singrauli,Singrauli,Singrauli,
639,Madhya Pradesh,Alirajpur,Alirajpur,Alirajpur,
667,Madhya Pradesh,Agar Malwa,Agar-Malwa,Agar-Malwa,name spelling changed between eras
671,Madhya Pradesh,,Shahdara,Shahdara,"new district code, only appears 2017 onwards"
730,Madhya Pradesh,,Chengalpattu,Chengalpattu,"new district code, only appears 2017 onwards"
466,Maharashtra,Ahmednagar,Ahmednagar,Ahmednagar,
467,Maharashtra,Akola,Akola,Akola,
468,Maharashtra,Amravati,Amravati,Amravati,
469,Maharashtra,Aurangabad,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,name spelling changed between eras
470,Maharashtra,Beed,Beed,Beed,
471,Maharashtra,Bhandara,Bhandara,Bhandara,
472,Maharashtra,Buldhana,Buldhana,Buldhana,
473,Maharashtra,Chandrapur,Chandrapur,Chandrapur,
474,Maharashtra,Dhule,Dhule,Dhule,
475,Maharashtra,Gadchiroli,Gadchiroli,Gadchiroli,
476,Maharashtra,Gondia,Gondia,Gondia,
477,Maharashtra,Hingoli,Hingoli,Hingoli,
478,Maharashtra,Jalgaon,Jalgaon,Jalgaon,
479,Maharashtra,Jalna,Jalna,Jalna,
480,Maharashtra,Kolhapur,Kolhapur,Kolhapur,
481,Maharashtra,Latur,Latur,Latur,
482,Maharashtra,Mumbai,Mumbai,Mumbai,
483,Maharashtra,Mumbai Suburban,Mumbai Suburban,Mumbai Suburban,
484,Maharashtra,Nagpur,Nagpur,Nagpur,
485,Maharashtra,Nanded,Nanded,Nanded,
486,Maharashtra,Nandurbar,Nandurbar,Nandurbar,
487,Maharashtra,Nashik,Nashik,Nashik,
488,Maharashtra,Osmanabad,Dharashiv,Dharashiv,name spelling changed between eras
489,Maharashtra,Parbhani,Parbhani,Parbhani,
490,Maharashtra,Pune,Pune,Pune,
491,Maharashtra,Raigad,Raigad,Raigad,
492,Maharashtra,Ratnagiri,Ratnagiri,Ratnagiri,
493,Maharashtra,Sangli,Sangli,Sangli,
494,Maharashtra,Satara,Satara,Satara,
495,Maharashtra,Sindhudurg,Sindhudurg,Sindhudurg,
496,Maharashtra,Solapur,Solapur,Solapur,
497,Maharashtra,Thane,Thane,Thane,
498,Maharashtra,Wardha,Wardha,Wardha,
499,Maharashtra,Washim,Washim,Washim,
500,Maharashtra,Yavatmal,Yavatmal,Yavatmal,
665,Maharashtra,Palghar,Palghar,Palghar,
252,Manipur,Bishnupur,Bishnupur,Bishnupur,
253,Manipur,Chandel,Chandel,Chandel,
254,Manipur,Churachandpur,Churachandpur,Churachandpur,
255,Manipur,Imphal East,Imphal East,Imphal East,
256,Manipur,Imphal West,Imphal West,Imphal West,
257,Manipur,Senapati,Senapati,Senapati,
258,Manipur,Tamenglong,Tamenglong,Tamenglong,
259,Manipur,Thoubal,Thoubal,Thoubal,
260,Manipur,Ukhrul,Ukhrul,Ukhrul,
719,Manipur,,Lower Siang,Lower Siang,"new district code, only appears 2017 onwards"
720,Manipur,,Mulugu,Mulugu,"new district code, only appears 2017 onwards"
721,Manipur,,Narayanpet,Narayanpet,"new district code, only appears 2017 onwards"
722,Manipur,,Niwari,Niwari,"new district code, only appears 2017 onwards"
723,Manipur,,Pakke Kessang,Pakke Kessang,"new district code, only appears 2017 onwards"
724,Manipur,,Leparada,Leparada,"new district code, only appears 2017 onwards"
725,Manipur,,Shi Yomi,Shi Yomi,"new district code, only appears 2017 onwards"
273,Meghalaya,East Garo Hills,East Garo Hills,East Garo Hills,
274,Meghalaya,East Khasi Hills,East Khasi Hills,East Khasi Hills,
275,Meghalaya,West Jaintia Hills,West Jaintia Hills,West Jaintia Hills,
276,Meghalaya,Ri Bhoi,Ri Bhoi,Ri Bhoi,
277,Meghalaya,South Garo Hills,South Garo Hills,South Garo Hills,
278,Meghalaya,West Garo Hills,West Garo Hills,West Garo Hills,
279,Meghalaya,West Khasi Hills,West Khasi Hills,West Khasi Hills,
656,Meghalaya,North Garo Hills,North Garo Hills,North Garo Hills,
657,Meghalaya,East Jaintia Hills,East Jaintia Hills,East Jaintia Hills,
658,Meghalaya,South West Khasi Hills,South West Khasi Hills,South West Khasi Hills,
663,Meghalaya,South West Garo Hills,South West Garo Hills,South West Garo Hills,
750,Meghalaya,,Bapatla,Bapatla,"new district code, only appears 2017 onwards"
261,Mizoram,Aizawl,Aizawl,Aizawl,
262,Mizoram,Champhai,Champhai,Champhai,
263,Mizoram,Kolasib,Kolasib,Kolasib,
264,Mizoram,Lawngtlai,Lawngtlai,Lawngtlai,
265,Mizoram,Lunglei,Lunglei,Lunglei,
266,Mizoram,Mamit,Mamit,Mamit,
267,Mizoram,Saiha,Siaha,Siaha,name spelling changed between eras
268,Mizoram,Serchhip,Serchhip,Serchhip,
